"Date","Region","Place","Trigger","Trigger..additional.info","Weak.Layer","Depth","Width","Vertical","Aspect","Elevation","Coordinates","Caught","Carried","Buried...Partly","Buried...Fully","Injured","Killed"
"2013-02-02","Southwest","Niotche Creek","Snowmobiler","","Facets","3'","200'","500'","Northeast","10,400'","38.737013000000, -111.660018000000",NA,NA,NA,NA,NA,NA
"2013-02-01","Logan","Box Elder Peak","Natural","","Facets","","","","East","9,000'","41.634498000000, -112.010851000000",NA,NA,NA,NA,NA,NA
"2013-02-02","Provo","Ant Knolls","Snowmobiler","","","2'","200'","","East","","",NA,NA,NA,NA,NA,NA
"2013-02-01","Provo","Mary Ellen Gulch","Natural","","","12""","300'","500'","","","",NA,NA,NA,NA,NA,NA
"2013-02-01","Provo","Cascade","Natural","","","","","","East","","",NA,NA,NA,NA,NA,NA
"2013-02-02","Salt Lake","Eeeny Meeny Miny Moe","Skier","Unintentionally Triggered","Facets","3'","200'","2,000'","North","9,900'","40.604146000000, -111.707654000000",1,1,1,NA,1,NA
"2013-02-03","Salt Lake","Mary Ellen","Snowboarder","Unintentionally Triggered","Facets","3'","300'","","East","10,200'","40.536829000000, -111.639333000000",1,1,NA,NA,NA,NA
"2013-02-02","Skyline","Seeley Canyon","Snowmobiler","","Facets","2'","100'","300'","East","10,100'","39.509901000000, -111.296611000000",NA,NA,NA,NA,NA,NA
"2013-02-02","Skyline","Seeley Canyon","Snowmobiler","","Facets","2'","300'","300'","Northeast","10,300'","39.513146000000, -111.300302000000",NA,NA,NA,NA,NA,NA
"2013-02-02","Skyline","Seeley Canyon","Snowmobiler","","Facets","2'","200'","400'","Northeast","10,400'","39.514570000000, -111.302533000000",NA,NA,NA,NA,NA,NA
"2013-02-01","Skyline","Lake Canyon","Snowmobiler","Unintentionally Triggered","Density Change","2.5'","300'","100'","East","9,700'","39.589022000000, -111.302447000000",NA,NA,NA,NA,NA,NA
"2013-01-30","Ogden","Willard Peak","Natural","","","","400'","1,750'","East","9,200'","41.380125000000, -111.972828000000",NA,NA,NA,NA,NA,NA
"2013-02-03","Salt Lake","Silver Fork Headwall","Skier","Unintentionally Triggered","Facets","2.5'","200'","350'","North","9,900'","40.599356000000, -111.625471000000",1,1,1,1,NA,NA
"2013-02-03","Salt Lake","Park City Ridgeline","Skier","Unintentionally Triggered","Facets","18""","80'","300'","Northwest","8,900'","40.637534000000, -111.563587000000",1,1,1,NA,NA,NA
"2013-02-01","Salt Lake","Little Willow","Unknown","","Facets","15""","175'","","North","9,600'","40.634010000000, -111.561935000000",NA,NA,NA,NA,NA,NA
"2013-02-01","Salt Lake","Little Willow","Unknown","","Facets","15""","150'","","North","9,500'","40.634010000000, -111.561549000000",NA,NA,NA,NA,NA,NA
"2013-02-03","Logan","Beginner Ridge exit","Snowmobiler","Remotely Triggered","Facets","2'","250'","300'","Northeast","8,400'","41.888189000000, -111.641092000000",NA,NA,NA,NA,NA,NA
"2013-02-03","Logan","Mt. Magog","Natural","Cornice Triggered","Facets","2'","100'","450'","East","9,200'","41.913072000000, -111.653194000000",NA,NA,NA,NA,NA,NA
"2013-02-03","Uintas","Millcreek","Snowmobiler","Unintentionally Triggered","Facets","16""","100'","150'","Northeast","11,000'","40.855013000000, -110.707083000000",NA,NA,NA,NA,NA,NA
"2013-02-02","Uintas","Millcreek","Snowmobiler","Unintentionally Triggered","Facets","12""","125'","200'","Southeast","10,600'","40.865627000000, -110.707383000000",NA,NA,NA,NA,NA,NA
"2013-02-03","Uintas","Moffit Peak SE Face","Snowmobiler","Unintentionally Triggered","Facets","2'","350'","500'","Northeast","10,600'","40.804942000000, -110.953074000000",NA,NA,NA,NA,NA,NA
